Topic,Abstract
climate change,"Foreword Preface Summary for policy makers Technical summary 1. Introduction 2. Observations: atmosphere and surface 3. Observations: ocean 4. Observations: cryosphere 5. Information from paleoclimate archives 6. Carbon and other biogeochemical cycles 7. Clouds and aerosols 8. Anthropogenic and natural radiative forcing 9. Evaluation of climate models 10. Detection and attribution of climate change: from global to regional 11. Near-term climate change: projections and predictability 12. Long-term climate change: projections, commitments and irreversibility 13. Sea level change 14. Climate phenomena and their relevance for future regional climate change Annex I. Atlas of global and regional climate projections Annex II. Climate system scenario tables Annex III. Glossary Annex IV. Acronyms Annex V. Contributors Annex VI. Expert reviewers Index."
climate change,"Although numerous species distribution models have been developed, most were based on insufficient distribution data or used older climate change scenarios. We aimed to quantify changes in projected ranges and threat level by the years 2061–2080, for 12 European forest tree species under three climate change scenarios. We combined tree distribution data from the Global Biodiversity Information Facility, EUFORGEN, and forest inventories, and we developed species distribution models using MaxEnt and 19 bioclimatic variables. Models were developed for three climate change scenarios—optimistic (RCP2.6), moderate (RCP4.5), and pessimistic (RPC8.5)—using three General Circulation Models, for the period 2061–2080. Our study revealed different responses of tree species to projected climate change. The species may be divided into three groups: “winners”—mostly late‐successional species: Abies alba, Fagus sylvatica, Fraxinus excelsior, Quercus robur, and Quercus petraea; “losers”—mostly pioneer species: Betula pendula, Larix decidua, Picea abies, and Pinus sylvestris; and alien species—Pseudotsuga menziesii, Quercus rubra, and Robinia pseudoacacia, which may be also considered as “winners.” Assuming limited migration, most of the species studied would face a significant decrease in suitable habitat area. The threat level was highest for species that currently have the northernmost distribution centers. Ecological consequences of the projected range contractions would be serious for both forest management and nature conservation."
climate change,"The varied effects of recent extreme weather events around the world exemplify the uneven impacts of climate change on populations, even within relatively small geographic regions. Differential human vulnerability to environmental hazards results from a range of social, economic, historical, and political factors, all of which operate at multiple scales. While adaptation to climate change has been the dominant focus of policy and research agendas, it is essential to ask as well why some communities and peoples are disproportionately exposed to and affected by climate threats. The cases and synthesis presented here are organized around four key themes (resource access, governance, culture, and knowledge), which we approach from four social science fields (cultural anthropology, archaeology, human geography, and sociology). Social scientific approaches to human vulnerability draw vital attention to the root causes of climate change threats and the reasons that people are forced to adapt to them. Because vulnerability is a multidimensional process rather than an unchanging state, a dynamic social approach to vulnerability is most likely to improve mitigation and adaptation planning efforts."
climate change,"Recent research has strengthened the understanding of the links between climate and tropical cyclones (TCs) on various timescales. Geological records of past climates have shown century‐long variations in TC numbers. While no significant trends have been identified in the Atlantic since the late 19th century, significant observed trends in TC numbers and intensities have occurred in this basin over the past few decades, and trends in other basins are increasingly being identified. However, understanding of the causes of these trends is incomplete, and confidence in these trends continues to be hampered by a lack of consistent observations in some basins. A theoretical basis for maximum TC intensity appears now to be well established, but a climate theory of TC formation remains elusive. Climate models mostly continue to predict future decreases in global TC numbers, projected increases in the intensities of the strongest storms and increased rainfall rates. Sea level rise will likely contribute toward increased storm surge risk. Against the background of global climate change and sea level rise, it is important to carry out quantitative assessments on the potential risk of TC‐induced storm surge and flooding to densely populated cities and river deltas. Several climate models are now able to generate a good distribution of both TC numbers and intensities in the current climate. Inconsistent TC projection results emerge from modeling studies due to different downscaling methodologies and warming scenarios, inconsistencies in projected changes of large‐scale conditions, and differences in model physics and tracking algorithms. WIREs Clim Change 2016, 7:65–89. doi: 10.1002/wcc.371"
climate change,"There is a direct influence of global warming on precipitation. Increased heating leads to greater evaporation and thus surface drying, thereby increasing the intensity and duration of drought. However, the water holding capacity of air increases by about 7% per 1°C warming, which leads to increased water vapor in the atmosphere. Hence, storms, whether individual thunderstorms, extratropical rain or snow storms, or tropical cyclones, supplied with increased moisture, produce more intense precipitation events. Such events are observed to be widely occurring, even where total precipitation is decreasing: 'it never rains but it pours!' This increases the risk of flooding. The atmo- spheric and surface energy budget plays a critical role in the hydrological cycle, and also in the slower rate of change that occurs in total precipitation than total column water vapor. With modest changes in winds, patterns of precipitation do not change much, but result in dry areas becoming drier (generally throughout the subtropics) and wet areas becoming wetter, especially in the mid- to high latitudes: the 'rich get richer and the poor get poorer'. This pattern is simulated by climate mod- els and is projected to continue into the future. Because, with warming, more precipitation occurs as rain instead of snow and snow melts earlier, there is increased runoff and risk of flooding in early spring, but increased risk of drought in summer, especially over continental areas. However, with more precipitation per unit of upward motion in the atmosphere, i.e. 'more bang for the buck', atmo- spheric circulation weakens, causing monsoons to falter. In the tropics and subtropics, precipitation patterns are dominated by shifts as sea surface temperatures change, with El Nino a good example. The volcanic eruption of Mount Pinatubo in 1991 led to an unprecedented drop in land precipitation and runoff, and to widespread drought, as precipitation shifted from land to oceans and evaporation faltered, providing lessons for possible geoengineering. Most models simulate precipitation that occurs prematurely and too often, and with insufficient intensity, resulting in recycling that is too large and a lifetime of moisture in the atmosphere that is too short, which affects runoff and soil moisture."
climate change,"This article reviews the economic impacts of climate change and the policy implications of the results. Current estimates indicate that climate change will likely have a limited impact on the economy and human welfare in the twenty-first century. In fact, the initial impacts of climate change may well be positive. However, in the long run the negative impacts dominate the positive ones. Negative impacts will be substantially greater in poorer, hotter, and lower-lying countries. Poverty reduction complements greenhouse gas emissions reduction as a means to reduce climate change impacts. Although climate change may affect the growth rate of the global economy and may trap more people in poverty, quantification of these impacts remains difficult. The optimal carbon tax in the near term is somewhere between a few tens and a few hundreds of dollars per ton of carbon."
climate change,"The Protocol shares the objective and institutions of the Convention. The major distinction between the two, however, is that while the Convention encouraged industrialized countries to stabilize GHG emissions, the Protocol commits them to do so. The detailed rules for its implementation were adopted at COP 7 in Marrakesh in 2001, and are called the "" Marrakesh Accords. "" The Protocol places a heavier burden on developed nations under the principle of "" common but differentiated responsibilities. "" The Kyoto Protocol entered into force on 16 February 2005. 192 Parties have ratified the treaty to date. Under the Protocol, 37 industrialized countries and the European Community have committed to reducing their emissions by an average of 5 percent against 1990 levels over the five-year period 2008-2012. For this group of countries, reductions of 11% are projected for the first Kyoto commitment period from 2008 to 2012, provided policies and measures planned by these countries are put in place (see Annex). These countries will also have to make use of the Protocol's "" flexible mechanisms "" in order to reach their collective emission reduction goal. Flexibility in meeting targets Emission targets for industrialized country Parties to the Kyoto Protocol are expressed as levels of allowed emissions, or "" assigned amounts "" , over the 2008-2012 commitment period. Such assigned amounts are denominated in tonnes (of CO2 equivalent emissions). Industrialized countries must first and foremost take domestic action against climate change, but the Protocol allows them a certain degree of flexibility in meeting their emission reduction commitments through three innovative market-based mechanisms. The Kyoto Mechanisms The three Kyoto mechanisms are: Emissions Trading – known as "" the carbon market "" – the Clean Development Mechanism (CDM) and Joint Implementation (JI). The carbon market spawned by these mechanisms is a key tool in reducing emissions worldwide. It was worth 30 billion USD in 2006 and is set to increase. JI and CDM are the two project-based mechanisms which feed the carbon market. JI enables industrialized countries to carry out joint implementation projects with other developed countries (usually countries with economies in transition), while the CDM involves investment in sustainable development projects that reduce emissions in developing countries. Since the beginning of 2006, the estimated potential of emission reductions to be"
climate change,"Costing out the effects of climate change Episodes of severe weather in the United States, such as the present abundance of rainfall in California, are brandished as tangible evidence of the future costs of current climate trends. Hsiang et al. collected national data documenting the responses in six economic sectors to short-term weather fluctuations. These data were integrated with probabilistic distributions from a set of global climate models and used to estimate future costs during the remainder of this century across a range of scenarios (see the Perspective by Pizer). In terms of overall effects on gross domestic product, the authors predict negative impacts in the southern United States and positive impacts in some parts of the Pacific Northwest and New England. Science, this issue p. 1362; see also p. 1330 One percent of gross domestic product per degree Celsius is a steep price to pay for climate change. Estimates of climate change damage are central to the design of climate policies. Here, we develop a flexible architecture for computing damages that integrates climate science, econometric analyses, and process models. We use this approach to construct spatially explicit, probabilistic, and empirically derived estimates of economic damage in the United States from climate change. The combined value of market and nonmarket damage across analyzed sectors—agriculture, crime, coastal storms, energy, human mortality, and labor—increases quadratically in global mean temperature, costing roughly 1.2% of gross domestic product per +1°C on average. Importantly, risk is distributed unequally across locations, generating a large transfer of value northward and westward that increases economic inequality. By the late 21st century, the poorest third of counties are projected to experience damages between 2 and 20% of county income (90% chance) under business-as-usual emissions (Representative Concentration Pathway 8.5)."
climate change,"Indigenous and allied scholars, knowledge keepers, scientists, learners, change-makers, and leaders are creating a field to support Indigenous peoples’ capacities to address anthropogenic (human-caused) climate change. Provisionally, I call it Indigenous climate change studies (Indigenous studies, for short, in this essay). The studies involve many types of work, including Indigenous climate resiliency plans, such as the Salish-Kootenai Tribe’s Climate Change Strategic Plan that includes sections on “Culture” and “Tribal Elder Observations,” policy documents, such as the Inuit Petition expressing “the right to be cold,” conferences, such as “Climate Changed: Reflections on Our Past, Present and Future Situation,” organized by the Indigenous Peoples Climate Change Working Group, and numerous declarations and academic papers, from the Mandaluyong Declaration of the Global Conference on Indigenous Women, Climate Change and REDD to a special issue of the scientific journal Climatic Change devoted to Indigenous peoples in the U.S. context."
climate change,"Effectively addressing climate change requires significant changes in individual and collective human behavior and decision‐making. Yet, in light of the increasing politicization of (climate) science, and the attempts of vested‐interest groups to undermine the scientific consensus on climate change through organized “disinformation campaigns,” identifying ways to effectively engage with the public about the issue across the political spectrum has proven difficult. A growing body of research suggests that one promising way to counteract the politicization of science is to convey the high level of normative agreement (“consensus”) among experts about the reality of human‐caused climate change. Yet, much prior research examining public opinion dynamics in the context of climate change has done so under conditions with limited external validity. Moreover, no research to date has examined how to protect the public from the spread of influential misinformation about climate change. The current research bridges this divide by exploring how people evaluate and process consensus cues in a polarized information environment. Furthermore, evidence is provided that it is possible to pre‐emptively protect (“inoculate”) public attitudes about climate change against real‐world misinformation."
